id,来源,名称,分类,红绿灯地址,大图片地址,小图片地址,热量,碳水化合物,脂肪,蛋白质,纤维素,维生素A,维生素C,维生素E,胡萝卜素,硫胺素,核黄素,烟酸,胆固醇,镁,钙,铁,锌,铜,锰,钾,磷,钠,硒,度量单位
guiguanyudoufuxieroudanhuangwei,用户上传,桂冠鱼豆腐蟹肉蛋黄味,蛋类、肉类及制品,http://s2.boohee.cn/food/star/guiguanyudoufuxieroudanhuangwei-a112dbab24e89422b5feafc573e2c0ee.png,http://s2.boohee.cn/house/upload_food/2012/12/5/1637087_1354698922.jpg,http://s2.boohee.cn/house/upload_food/2012/12/5/1637087_1354698922mid.jpg,177,13.70,9.40,9.50,0.00,,,,,,,,,,,,,,,,,,,
sealoadtaipingyangyutiao,用户上传,seaload太平洋鱼条,蛋类、肉类及制品,http://s2.boohee.cn/food/star/sealoadtaipingyangyutiao-df711b7f3322d840135fcaa94ecd1250.png,http://s2.boohee.cn/house/upload_food/2009/7/16/296739_1247702694.jpg,http://s2.boohee.cn/house/upload_food/2009/7/16/296739_1247702694mid.jpg,189,16.20,8.70,11.30,一,,,,,,,,,,,,,,,,,,,
shuangdawugujiliuxianglawei,用户上传,双大无骨鸡柳香辣味,蛋类、肉类及制品,http://s2.boohee.cn/food/star/shuangdawugujiliuxianglawei-69e3574b8fafc6ba50fe24852fc15a29.png,http://s2.boohee.cn/house/upload_food/2008/6/18/74067_1213780890.jpg,http://s2.boohee.cn/house/upload_food/2008/6/18/74067_1213780890mid.jpg,110,1.40,3.00,15.00,一,,,,,,,,,,,,,,,,,,,
huangsangyu,薄荷,黄颡鱼,蛋类、肉类及制品,http://s2.boohee.cn/food/star/huangsangyu-f51b2d9371030d61ff9a5d5094b2df52.png,http://s2.boohee.cn/house/upload_food/2020/9/24/b_big_photo_url_b868d430b82168b153647b608f4e3409.jpg,http://s2.boohee.cn/house/upload_food/2020/9/24/m_big_photo_url_b868d430b82168b153647b608f4e3409.jpg,124,7.10,2.70,17.80,一,一,一,1.48,一,0.01,0.06,3.70,90.00,19.00,59.00,6.40,1.48,0.08,0.10,202.00,166.00,250.40,16.09,
xiandeweijinqiangyuguantouhichunhuangdouyoujinhi,用户上传,鲜得味 金枪鱼罐头(纯黄豆油浸),蛋类、肉类及制品,http://s2.boohee.cn/food/star/xiandeweijinqiangyuguantouhichunhuangdouyoujinhi-fe48850d7d541aa05b741d419aaff65b.png,http://s2.boohee.cn/house/food_big/big_photo20124121445716786.jpg,http://s2.boohee.cn/house/food_mid/mid_photo_20124121445716786.jpg,191,0.00,12.00,20.00,一,,,,,,,,,,,,,,,,,,,
wucanyu_xianglawei,薄荷,午餐鱼(香辣味),蛋类、肉类及制品,http://s2.boohee.cn/food/star/wucanyu_xianglawei-de86d54f4cedf3175afbe528c0e09b77.png,http://s2.boohee.cn/house/upload_food/2020/6/4/big_photo_url_3d8ce10f8b77d8e0e1198de939b94d4d.jpg,http://s2.boohee.cn/house/upload_food/2020/6/4/mid_photo_url_af39ecffb9fdd4ba460a1fe160e3b2cb.jpg,383,3.30,30.20,24.40,0.00,,,,,,,,,,,,,,,,,,,
zhuxiaopai_liangzazhu,薄荷,猪小排(良杂猪),蛋类、肉类及制品,http://s2.boohee.cn/food/star/zhuxiaopai_liangzazhu-da76cab40f1c575abf02fcb84e36b6b7.png,http://s2.boohee.cn/house/new_food/big/ccbd16bba73d49098459288603076c53.jpg,http://s2.boohee.cn/house/new_food/mid/ccbd16bba73d49098459288603076c53.jpg,351,0.00,32.70,14.10,0.00,,,,,,,,,,,,,,,,,,,
huojitui,薄荷,火鸡腿,蛋类、肉类及制品,http://s2.boohee.cn/food/star/huojitui-e617c83350b365d3c214d1f1cc543285.png,http://s2.boohee.cn/house/new_food/big/dd7abaa5c2ae431db6af68bc78795903.jpg,http://s2.boohee.cn/house/new_food/mid/dd7abaa5c2ae431db6af68bc78795903.jpg,91,0.00,1.20,20.00,一,一,一,0.07,一,0.07,0.06,8.30,58.00,49.00,12.00,5.20,9.26,0.45,0.04,708.00,470.00,168.40,15.50,
zhugan,薄荷,猪肝,蛋类、肉类及制品,http://s2.boohee.cn/food/star/zhugan-3a29c390d0155a0cfa20f529c57b501e.png,http://s2.boohee.cn/house/upload_food/2020/6/4/big_photo_url_big_photo_url_13964830f7b15e5bdf2cd7fa29977228.jpg,http://s2.boohee.cn/house/upload_food/2020/6/4/mid_photo_url_big_photo_url_13964830f7b15e5bdf2cd7fa29977228.jpg,126,1.80,4.70,19.20,0.00,,,,,,,,,,,,,,,,,,,"1大片猪肝(15.0克，可食部分15.0克)19大卡,标准(100克)126大卡"
haixia,薄荷,海虾,蛋类、肉类及制品,http://s2.boohee.cn/food/star/haixia-bd8ca86a4f233efb92c163b6ad9df7c1.png,http://s2.boohee.cn/house/upload_food/2020/6/5/big_photo_url_c5dd1b7934e97e89c1b909fd0447caba.jpg,http://s2.boohee.cn/house/upload_food/2020/6/5/mid_photo_url_1566dc9ccc7e4a6752570443a8402751.jpg,79,1.50,0.60,16.80,0.00,,,,,,,,,,,,,,,,,,,"1盘海虾(250.0克，可食部分128.0克)101大卡,标准(100克)79大卡"
guiguanyuwan,用户上传,桂冠鱼丸,蛋类、肉类及制品,http://s2.boohee.cn/food/star/guiguanyuwan-f13e7e4b263c66beb82df85dc093c803.png,http://s2.boohee.cn/house/upload_food/2009/1/3/112882_1230961364.jpg,http://s2.boohee.cn/house/upload_food/2009/1/3/112882_1230961364mid.jpg,84,5.00,1.00,11.00,一,,,,,,,,,,,,,,,,,,,
lianhuajishihaizhesihaixianwei,用户上传,联华 即食海蜇丝(海鲜味),蛋类、肉类及制品,http://s2.boohee.cn/food/star/lianhuajishihaizhesihaixianwei-aff42113fc2d3a049d9604bc5e5621e1.png,http://s2.boohee.cn/house/upload_food/2011/10/31/466802_1320064840.jpg,http://s2.boohee.cn/house/upload_food/2011/10/31/466802_1320064840mid.jpg,40,3.33,0.00,6.67,0.00,,,,,,,,,,,,,,,,,,,
xianyadan,薄荷,咸鸭蛋,蛋类、肉类及制品,http://s2.boohee.cn/food/star/xianyadan-bd49c2514919a44ea1a3406f7312ecb8.png,http://s2.boohee.cn/house/upload_food/2020/6/18/big_photo_url_big_photo_url_92650e5d26df730bc19360dcb2de8822.jpg,http://s2.boohee.cn/house/upload_food/2020/6/18/mid_photo_url_big_photo_url_92650e5d26df730bc19360dcb2de8822.jpg,190,6.30,12.70,12.70,一,134.00,一,6.25,一,0.16,0.33,0.10,647.00,30.00,118.00,3.60,1.74,0.14,0.10,184.00,231.00,2706.10,24.04,"1只咸鸭蛋(60.0克，可食部分53.0克)100大卡,半只咸鸭蛋(30.0克，可食部分26.0克)50大卡,标准(100克)190大卡"
shadingyu,薄荷,沙丁鱼,蛋类、肉类及制品,http://s2.boohee.cn/food/star/shadingyu-04e18b700417ea0dad2d2d0c9c3c8ae4.png,http://s2.boohee.cn/house/upload_food/2020/5/17/big_photo_url_0808ff469971fe142ef04bd3f3f22b0d.jpg,http://s2.boohee.cn/house/upload_food/2020/5/17/mid_photo_url_45d5f998d9062d6ee38131f4c8729de6.jpg,89,0.00,1.10,19.80,0.00,,,,,,,,,,,,,,,,,,,
shadingyu_qiezhi_shu,薄荷,沙丁鱼(茄汁，熟),蛋类、肉类及制品,http://s2.boohee.cn/food/star/shadingyu_qiezhi_shu-394a7dbcd64a9aebecb80c622003bd13.png,http://s2.boohee.cn/house/new_food/big/f0fc764f99dc42dfb95185d1914853e2.jpg,http://s2.boohee.cn/house/new_food/mid/f0fc764f99dc42dfb95185d1914853e2.jpg,155,3.00,9.80,13.80,0.00,,,,,,,,,,,,,,,,,,,
yongyu,薄荷,鳙鱼,蛋类、肉类及制品,http://s2.boohee.cn/food/star/yongyu-3c244812ccdb9cc6e4dc440bbcf251c6.png,http://s2.boohee.cn/house/upload_food/2020/8/14/b_big_photo_url_18c2c80473f7198f485f76e36f010adb.jpg,http://s2.boohee.cn/house/upload_food/2020/8/14/m_big_photo_url_18c2c80473f7198f485f76e36f010adb.jpg,100,4.70,2.20,15.30,一,34.00,一,2.65,一,0.04,0.11,2.80,112.00,26.00,82.00,0.80,0.76,0.07,0.08,229.00,180.00,60.60,19.47,"1盘鳙鱼(400.0克，可食部分244.0克)244大卡,标准(100克)100大卡"
fengzhengtianranhaizhe_malawei,用户上传,丰正 天然海蜇(麻辣味),蛋类、肉类及制品,http://s2.boohee.cn/food/star/fengzhengtianranhaizhe_malawei-97f984e81d0fada83a8ca71d2fc57d3b.png,http://s2.boohee.cn/house/upload_food/2011/7/7/1000479_1310037835.jpg,http://s2.boohee.cn/house/upload_food/2011/7/7/1000479_1310037835mid.jpg,43,2.90,1.20,5.00,0.00,,,,,,,,,,,,,,,,,,,
qingyu_zheng,薄荷,鲭鱼(蒸),蛋类、肉类及制品,http://s2.boohee.cn/food/star/qingyu_zheng-7ad05ceb28d6e0703237e019b1aba868.png,http://s2.boohee.cn/house/new_food/big/525a1c2a05634a21920f1016d5f75e98.jpg,http://s2.boohee.cn/house/new_food/mid/525a1c2a05634a21920f1016d5f75e98.jpg,390,0.70,36.50,14.60,0.00,,,,,,,,,,,,,,,,,,,
jiayu,薄荷,甲鱼,蛋类、肉类及制品,http://s2.boohee.cn/food/star/jiayu-a94e071934c14770622c4515e5f23c91.png,http://s2.boohee.cn/house/upload_food/2020/9/24/b_big_photo_url_fe231e50ed0f3853c5b765e988808c13.jpg,http://s2.boohee.cn/house/upload_food/2020/9/24/m_big_photo_url_fe231e50ed0f3853c5b765e988808c13.jpg,118,2.10,4.30,17.80,一,139.00,一,1.88,一,0.07,0.14,3.30,101.00,15.00,70.00,2.80,2.31,0.12,0.05,196.00,114.00,96.90,15.19,
haidan,用户上传,海胆,蛋类、肉类及制品,http://s2.boohee.cn/food/star/haidan-eb7909931a0c8e8020eb52c8434e34cb.png,http://s2.boohee.cn/house/upload_food/2012/2/12/395742_1329057656.jpg,http://s2.boohee.cn/house/upload_food/2012/2/12/395742_1329057656mid.jpg,120,3.30,4.80,16.00,0.00,,,,,,,,,,,,,,,,,,,
huangyu_luoliyu,薄荷,湟鱼(裸鲤鱼),蛋类、肉类及制品,http://s2.boohee.cn/food/star/huangyu_luoliyu-b89016b0e8d89fa186fac4b463aa970c.png,http://s2.boohee.cn/house/new_food/big/1f76aa9ddf894c2ea04a231c78f19a3d.jpg,http://s2.boohee.cn/house/new_food/mid/1f76aa9ddf894c2ea04a231c78f19a3d.jpg,124,6.70,3.20,17.10,0.00,,,,,,,,,,,,,,,,,,,
lianhuajishihaizhesisuantianwe,用户上传,联华 即食海蜇丝(酸甜味),蛋类、肉类及制品,http://s2.boohee.cn/food/star/lianhuajishihaizhesisuantianwe-5e26c003d47e1de702fe1d1990966d22.png,http://s2.boohee.cn/house/upload_food/2011/10/31/466802_1320064726.jpg,http://s2.boohee.cn/house/upload_food/2011/10/31/466802_1320064726mid.jpg,40,3.33,0.00,6.67,0.00,,,,,,,,,,,,,,,,,,,
jigan,薄荷,鸡肝,蛋类、肉类及制品,http://s2.boohee.cn/food/star/jigan-7fc27e133f694dc3a576c10e88024b37.png,http://s2.boohee.cn/house/upload_food/2020/6/19/big_photo_url_big_photo_url_25fd2bbd1c1f89f5b8d2873c40aeca27.jpg,http://s2.boohee.cn/house/upload_food/2020/6/19/mid_photo_url_big_photo_url_25fd2bbd1c1f89f5b8d2873c40aeca27.jpg,121,2.80,4.80,16.60,0.00,,,,,,,,,,,,,,,,,,,
chengzi,薄荷,蛏子,蛋类、肉类及制品,http://s2.boohee.cn/food/star/chengzi-810939c4f823fa311f84438b274edbf2.png,http://s2.boohee.cn/house/upload_food/2020/6/19/big_photo_url_big_photo_url_cec1c55d9835d19bfc1c98dda090e11f.jpg,http://s2.boohee.cn/house/upload_food/2020/6/19/mid_photo_url_big_photo_url_cec1c55d9835d19bfc1c98dda090e11f.jpg,40,2.10,0.30,7.30,0.00,,,,,,,,,,,,,,,,,,,
ertongnaifen_keqipai,用户上传,空壳贝,蛋类、肉类及制品,http://s2.boohee.cn/food/star/ertongnaifen_keqipai-9c489725ebf61889c47c944daa9815da.png,http://s2.boohee.cn/house/upload_food/2017/1/17/big_photo_url_3ca653f5f19b4508b0504ff7b3676366.jpg,http://s2.boohee.cn/house/upload_food/2017/1/17/mid_photo_url_3cbbfc1932db4c25aff025f7d906bf41.jpg,60,2.00,0.50,12.00,一,,,,,,,,,,,,,,,,,,,
xueyu,薄荷,鳕鱼,蛋类、肉类及制品,http://s2.boohee.cn/food/star/xueyu-d8dbc7b99bece21036b98ca8bbbc5557.png,http://s2.boohee.cn/house/upload_food/2020/6/5/big_photo_url_119b0dd8b0c8e8ade54fac15180ef849.jpg,http://s2.boohee.cn/house/upload_food/2020/6/5/mid_photo_url_19ba6b1a61a8cd6c0cf4cb823bab6879.jpg,88,0.50,0.50,20.40,0.00,,,,,,,,,,,,,,,,,,,
guiguanxianggugongwan,用户上传,桂冠香菇贡丸,蛋类、肉类及制品,http://s2.boohee.cn/food/star/guiguanxianggugongwan-8b14fcbedc8ce26f80925b7c03c02710.png,http://s2.boohee.cn/house/upload_food/2009/7/18/205428_1247904394.jpg,http://s2.boohee.cn/house/upload_food/2009/7/18/205428_1247904394mid.jpg,210,7.00,13.00,13.00,一,,,,,,,,,,,,,,,,,,,"1个桂冠香菇贡丸(8.0克)17大卡,标准(100克)210大卡"
kuangquanshuijintunnayu,用户上传,B&F 矿泉水浸吞拿鱼,蛋类、肉类及制品,http://s2.boohee.cn/food/star/kuangquanshuijintunnayu-7a7a814ed27a7726ed9d25efa378d6b6.png,http://s2.boohee.cn/house/upload_food/2008/7/3/65925_1215084801.jpg,http://s2.boohee.cn/house/upload_food/2008/7/3/65925_1215084801mid.jpg,100,0.00,0.50,23.00,一,,,,,,,,,,,,,,,,,,,
zhurou_naifu,薄荷,猪肉(奶脯),蛋类、肉类及制品,http://s2.boohee.cn/food/star/zhurou_naifu-f7c56d9c06770e018a39ba3320033474.png,http://s2.boohee.cn/house/new_food/big/cd5588e9960740a485636e362dc21542.jpg,http://s2.boohee.cn/house/new_food/mid/cd5588e9960740a485636e362dc21542.jpg,349,0.00,35.30,7.70,一,39.00,一,0.49,一,0.14,0.06,2.00,98.00,5.00,5.00,0.80,0.73,0.13,一,53.00,67.00,36.70,2.22,
wucanrou,薄荷,午餐肉,蛋类、肉类及制品,http://s2.boohee.cn/food/star/wucanrou-d5e1ef6959001122dd819ae9559e9930.png,http://s2.boohee.cn/house/upload_food/2020/5/27/big_photo_url_ebeae5063f7b47340ce1d9fdf548080a.jpg,http://s2.boohee.cn/house/upload_food/2020/5/27/mid_photo_url_ee5e350852e6447bb1e01dde6f35f5a5.jpg,229,12.00,15.90,9.40,0.00,,,,,,,,,,,,,,,,,,,"1片午餐肉(15.0克)34大卡,标准(100克)229大卡"
daiyu,薄荷,带鱼,蛋类、肉类及制品,http://s2.boohee.cn/food/star/daiyu-e9fa354ee468a6334ed4ec3b609495d6.png,http://s2.boohee.cn/house/upload_food/2020/5/27/big_photo_url_217299ccf7065886c51332a070d8d6dc.jpg,http://s2.boohee.cn/house/upload_food/2020/5/27/mid_photo_url_f84804bcf8325760092b27aa58ea2909.jpg,127,3.10,4.90,17.70,0.00,,,,,,,,,,,,,,,,,,,"1条带鱼(300.0克，可食部分228.0克)290大卡,标准(100克)127大卡"
TescoMarket15cagedjidan,用户上传,乐购 MARKET15CAGED鸡蛋,蛋类、肉类及制品,http://s2.boohee.cn/food/star/TescoMarket15cagedjidan-a9ac394854106c11f2ac0dd353cdecd9.png,http://s2.boohee.cn/house/upload_food/2011/6/3/776384_1307048004.jpg,http://s2.boohee.cn/house/upload_food/2011/6/3/776384_1307048004mid.jpg,151,0.00,11.20,12.50,0.00,,,,,,,,,,,,,,,,,,,
ruge,薄荷,乳鸽,蛋类、肉类及制品,http://s2.boohee.cn/food/star/ruge-33468d18ef2f0d0fb1b7bad909b6a5aa.png,http://s2.boohee.cn/house/upload_food/2020/5/15/big_photo_url_a5b65e9af40e212b2fa1d1fb8832fe2a.jpg,http://s2.boohee.cn/house/upload_food/2020/5/15/mid_photo_url_a3e2ab6a635d42b2940b817f29564813.jpg,352,0.00,34.10,11.30,0.00,,,,,,,,,,,,,,,,,,,
cigu2,薄荷,刺蛄,蛋类、肉类及制品,http://s2.boohee.cn/food/star/cigu2-f191df3025ab1b9f252af83806fd74ab.png,http://s2.boohee.cn/house/new_food/big/ff17399a90344f69997d2621dde6ad17.jpg,http://s2.boohee.cn/house/new_food/mid/ff17399a90344f69997d2621dde6ad17.jpg,77,0.00,1.40,16.00,一,一,一,一,一,0.03,0.18,3.00,98.00,21.00,一,14.50,0.56,0.91,一,181.00,283.00,86.80,一,
xinaoerliangjichi_kendeji,薄荷,肯德基 新奥尔良烤翅,蛋类、肉类及制品,http://s2.boohee.cn/food/star/xinaoerliangjichi_kendeji-fbf9ca139306a9152818ec580d55f98a.png,http://s2.boohee.cn/house/upload_food/2018/12/9/big_photo_url_efaa3cc43cf72ed1e0bbb71dbdc0a42e.jpg,http://s2.boohee.cn/house/upload_food/2018/12/9/mid_photo_url_e2ed47878e6dde72b78938393808e48c.jpg,240,6.80,13.80,22.10,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,"1个肯德基 新奥尔良烤翅(100.0克，可食部分70.0克)168大卡,标准(100克)240大卡"
cangjidan,薄荷,藏鸡蛋,蛋类、肉类及制品,http://s2.boohee.cn/food/star/cangjidan-5bf3dbd5a2146597239a039c168eda56.png,http://s2.boohee.cn/house/new_food/big/4887866613084f968e1b2d38fd8bf17f.jpg,http://s2.boohee.cn/house/new_food/mid/4887866613084f968e1b2d38fd8bf17f.jpg,162,2.40,11.30,12.60,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,
qiugeli,薄荷,秋蛤蜊,蛋类、肉类及制品,http://s2.boohee.cn/food/star/qiugeli-085e760badf643bead3b5c2627f857f6.png,http://s2.boohee.cn/house/upload_food/2020/6/4/big_photo_url_103e23f1d7975e32578f31e340bea509.jpg,http://s2.boohee.cn/house/upload_food/2020/6/4/mid_photo_url_31379839f76ac3f832b0764622139fe5.jpg,89,5.00,0.70,15.60,0.00,,,,,,,,,,,,,,,,,,,
niuru_pamalate,薄荷,蛇蛋,蛋类、肉类及制品,http://s2.boohee.cn/food/star/niuru_pamalate-373f670b988c3aed3d344c05949f1a11.png,http://s2.boohee.cn/house/upload_food/2020/11/30/big_photo_url_34670a8388154136de30e43ee7972f34.jpg,http://s2.boohee.cn/house/upload_food/2020/11/30/mid_photo_url_a82be5a6c35fff5ae06d19618cf712ea.jpg,145,2.30,9.10,13.40,一,,,,,,,,,,,,,,,,,,,
kaoji,薄荷,烤鸡,蛋类、肉类及制品,http://s2.boohee.cn/food/star/kaoji-04d51a8b778b100e5919e5f52ba89a91.png,http://s2.boohee.cn/house/upload_food/2020/6/4/big_photo_url_5cd714e67e80aa3ff6e024e8e2e69b61.jpg,http://s2.boohee.cn/house/upload_food/2020/6/4/mid_photo_url_51cd266aaa8f88cac488f73db05bf085.jpg,265,0.00,16.90,28.10,0.00,,,,,,,,,,,,,,,,,,,"1只烤鸡(650.0克，可食部分475.0克)1257大卡,标准(100克)265大卡"
fanchantoushe,薄荷,饭铲头蛇,蛋类、肉类及制品,http://s2.boohee.cn/food/star/fanchantoushe-c9bea96af2f6ab8079c7e0b6c14c7452.png,http://s2.boohee.cn/house/upload_food/2009/2/4/user_191907_1233716822.jpg,http://s2.boohee.cn/house/upload_food/2009/2/4/user_mid_191907_1233716822.jpg,88,6.10,0.40,15.10,一,一,一,0.79,一,0.02,0.13,5.60,80.00,18.00,13.00,8.00,4.27,0.22,0.03,202.00,116.00,105.20,12.44,
hongluo,薄荷,红螺,蛋类、肉类及制品,http://s2.boohee.cn/food/star/hongluo-ecfbcb245bd70cde02a8af2221ae4825.png,http://s2.boohee.cn/house/new_food/big/47abed3b6c0845eb8c69f6613eee06e1.jpg,http://s2.boohee.cn/house/new_food/mid/47abed3b6c0845eb8c69f6613eee06e1.jpg,119,7.60,0.90,20.20,0.00,,,,,,,,,,,,,,,,,,,
shujidan,薄荷,熟鸡蛋,蛋类、肉类及制品,http://s2.boohee.cn/food/star/shujidan-944be6489beffe3a71c20bf3ce4d9032.png,http://s2.boohee.cn/house/upload_food/2019/2/18/big_photo_url_b758d03863d3d09d73b12f29f0e2775d.jpg,http://s2.boohee.cn/house/upload_food/2019/2/18/mid_photo_url_15c8d758e5a510b5308acd511f549b4a.jpg,151,2.10,10.50,12.10,一,,,,,,,,,,,,,,,,,,,"1个熟鸡蛋(60.0克)91大卡,标准(100克)151大卡"
wuli,薄荷,黑鱼,蛋类、肉类及制品,http://s2.boohee.cn/food/star/wuli-9159b3b33fc6f116cf260a72ccbf5530.png,http://s2.boohee.cn/house/upload_food/2020/9/3/b_big_photo_url_385c5f6ecd0e0c63908847f83dd06caf.jpg,http://s2.boohee.cn/house/upload_food/2020/9/3/m_big_photo_url_385c5f6ecd0e0c63908847f83dd06caf.jpg,85,0.00,1.20,18.50,0.00,,,,,,,,,,,,,,,,,,,
ji_tuji_jiayang,薄荷,鸡(土鸡，家养),蛋类、肉类及制品,http://s2.boohee.cn/food/star/ji_tuji_jiayang-6c25655f4d7a27701d313832df00bb19.png,http://s2.boohee.cn/house/new_food/big/a6d5d3f4c8814936ad65c941454aace7.jpg,http://s2.boohee.cn/house/new_food/mid/a6d5d3f4c8814936ad65c941454aace7.jpg,124,0.00,4.50,20.80,一,64.00,一,2.02,一,0.09,0.08,15.70,106.00,40.00,9.00,2.10,1.06,0.10,0.05,276.00,141.00,74.10,12.75,
ribenshuichangaoyingyangjirous,用户上传,日本水产高营养鸡肉松,蛋类、肉类及制品,http://s2.boohee.cn/food/star/ribenshuichangaoyingyangjirous-d8f73d52701f2e4c26bbba93dcfbfbb0.png,http://s2.boohee.cn/house/upload_food/2011/2/25/772320_1298624435.jpg,http://s2.boohee.cn/house/upload_food/2011/2/25/772320_1298624435mid.jpg,185,16.17,4.50,20.00,0.00,,,,,,,,,,,,,,,,,,,
Natureggdanbai,用户上传,Naturegg蛋白,蛋类、肉类及制品,http://s2.boohee.cn/food/star/Natureggdanbai-bdd4079fadf152cf4a4e2b1d4983c628.png,http://s2.boohee.cn/house/upload_food/2011/2/19/749623_1298124763.jpg,http://s2.boohee.cn/house/upload_food/2011/2/19/749623_1298124763mid.jpg,48,0.00,0.00,11.11,0.00,,,,,,,,,,,,,,,,,,,
haiman,薄荷,海鳗,蛋类、肉类及制品,http://s2.boohee.cn/food/star/haiman-0a2fa2e0035c167b1805df310d8c277b.png,http://s2.boohee.cn/house/new_food/big/b744a60a0ff842eba64968e4202f1104.jpg,http://s2.boohee.cn/house/new_food/mid/b744a60a0ff842eba64968e4202f1104.jpg,122,0.50,5.00,18.80,一,22.00,一,1.70,一,0.06,0.07,3.00,71.00,27.00,28.00,0.70,0.80,0.07,0.03,266.00,159.00,95.80,25.85,
tianji,薄荷,田鸡,蛋类、肉类及制品,http://s2.boohee.cn/food/star/tianji-5069b4d49c66bf8ce803cc07fbe07575.png,http://s2.boohee.cn/house/upload_food/2020/9/15/b_big_photo_url_136e92729cd80dccd7cfc3ae438b6b16.jpg,http://s2.boohee.cn/house/upload_food/2020/9/15/m_big_photo_url_136e92729cd80dccd7cfc3ae438b6b16.jpg,93,0.00,1.20,20.50,一,7.00,一,0.55,一,0.26,0.28,9.00,40.00,20.00,127.00,1.50,1.15,0.05,0.04,280.00,200.00,11.80,16.10,
qingyu_kao_150sheshidu_20fen,薄荷,鲭鱼(烤，150摄氏度，20分),蛋类、肉类及制品,http://s2.boohee.cn/food/star/qingyu_kao_150sheshidu_20fen-e878b9fc56d7d2f732aeea4831b91ab6.png,http://s2.boohee.cn/house/new_food/big/5285dbe12c1c4ab2ab5ad95910b2f4d7.jpg,http://s2.boohee.cn/house/new_food/mid/5285dbe12c1c4ab2ab5ad95910b2f4d7.jpg,390,0.00,34.80,19.10,0.00,,,,,,,,,,,,,,,,,,,
haixie,薄荷,海蟹,蛋类、肉类及制品,http://s2.boohee.cn/food/star/haixie-19521c2421447626ee2f786452ee83d2.png,http://s2.boohee.cn/house/upload_food/2020/6/11/big_photo_url_3b575e42eb528f84bf892ac346c632a4.jpg,http://s2.boohee.cn/house/upload_food/2020/6/11/mid_photo_url_751ee849f47a073a7a4a9e2314e2cf2f.jpg,95,4.70,2.30,13.80,0.00,,,,,,,,,,,,,,,,,,,
dinghaizhenhihudiemianbaoxia_z,用户上传,定海针 蝴蝶面包虾(炸面包虾),蛋类、肉类及制品,http://s2.boohee.cn/food/star/dinghaizhenhihudiemianbaoxia_z-a74fb18ef77d897166c11d47ed763aed.png,http://s2.boohee.cn/house/upload_food/2011/9/17/1106387_1316241281.jpg,http://s2.boohee.cn/house/upload_food/2011/9/17/1106387_1316241281mid.jpg,143,18.50,2.40,12.20,0.00,,,,,,,,,,,,,,,,,,,
guiguangongwan,用户上传,桂冠 贡丸,蛋类、肉类及制品,http://s2.boohee.cn/food/star/guiguangongwan-fbb15d0421f6de6c48d93bc3e3aa5a69.png,http://s2.boohee.cn/house/upload_food/2009/7/4/205428_1246659719.jpg,http://s2.boohee.cn/house/upload_food/2009/7/4/205428_1246659719mid.jpg,234,3.00,17.00,16.00,一,,,,,,,,,,,,,,,,,,,
fd041822,用户上传,Easy Fun 低脂鸡胸肉肠(原味),蛋类、肉类及制品,http://s2.boohee.cn/food/star/fd041822-6eefb597ffada54d0b65bda33d639be5.png,http://s2.boohee.cn/house/upload_food/2020/5/16/big_photo_url_d1daefd00dc824df849867f109a09a97.jpg,http://s2.boohee.cn/house/upload_food/2020/5/16/mid_photo_url_a3104d44c1ff7426caff0c657cd28902.jpg,131,3.20,1.50,25.80,一,,,,,,,,,,,,,,,,,,,
aoxia,薄荷,小龙虾,蛋类、肉类及制品,http://s2.boohee.cn/food/star/aoxia-2253fb113d47ed98c571eee9996fb28a.png,http://s2.boohee.cn/house/upload_food/2020/6/19/big_photo_url_big_photo_url_035310bd72273a87d92992b931e3f6d4.jpg,http://s2.boohee.cn/house/upload_food/2020/6/19/mid_photo_url_big_photo_url_035310bd72273a87d92992b931e3f6d4.jpg,93,0.00,3.80,14.80,0.00,,,,,,,,,,,,,,,,,,,
luosi,薄荷,螺蛳,蛋类、肉类及制品,http://s2.boohee.cn/food/star/luosi-b14cb7c0d392136435797e6e5752d5c4.png,http://s2.boohee.cn/house/upload_food/2020/6/20/big_photo_url_big_photo_url_28f9afbb8a2eda56d03ec1024a3c2e3f.jpg,http://s2.boohee.cn/house/upload_food/2020/6/20/mid_photo_url_big_photo_url_28f9afbb8a2eda56d03ec1024a3c2e3f.jpg,59,6.00,0.60,7.50,0.00,,,,,,,,,,,,,,,,,,,
edan,薄荷,鹅蛋,蛋类、肉类及制品,http://s2.boohee.cn/food/star/edan-63f46a49c2a22fa08991e615beb05b28.png,http://s2.boohee.cn/house/upload_food/2020/6/19/big_photo_url_big_photo_url_6d39a487e688737da9257267947284ed.jpg,http://s2.boohee.cn/house/upload_food/2020/6/19/mid_photo_url_big_photo_url_6d39a487e688737da9257267947284ed.jpg,196,2.80,15.60,11.10,0.00,,,,,,,,,,,,,,,,,,,
guiyu5,薄荷,鲑鱼(三文鱼),蛋类、肉类及制品,http://s2.boohee.cn/food/star/guiyu5-ec4c471c7bac42c991a07dafa90ecaa2.png,http://s2.boohee.cn/house/upload_food/2020/6/4/big_photo_url_c0d00755a740300f49d047c40dcd850b.jpg,http://s2.boohee.cn/house/upload_food/2020/6/4/mid_photo_url_5702f2d0c0ef84bcfc3ecf82e7f5be8a.jpg,139,0.00,7.80,17.20,0.00,,,,,,,,,,,,,,,,,,,
